1	name	suburbs	"If another comes in his own name, you will receive him."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Suburbs"""	" ""Suburbs"""	 The second sentence is more	0	0	1	0
2	name	wheels	"If another comes in his own name, you will receive him."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Observers"""	" ""Observers"""	 The second sentence is more	1	1	1	1
3	name	scatters	"If another comes in his own name, you will receive him."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	1	1	1	1
4	name	shekels	"If another comes in his own name, you will receive him."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Scatters"""	" ""Scatters"""	 The second sentence is more	1	1	1	1
5	name	nights	"If another comes in his own name, you will receive him."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	1	1	1	1
6	name	adversaries	"If another comes in his own name, you will receive him."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	1	1	1	1
7	name	assemblies	"If another comes in his own name, you will receive him."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Adversaries"""	" ""Adversaries"""	 The second sentence is more	1	1	1	1
8	name	wings	"If another comes in his own name, you will receive him."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	0	" ""Fate"" is"	" ""Fate"" is"	 The second sentence is more	1	1	1	1
9	name	wrath	"If another comes in his own name, you will receive him."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Gallery"" is"	" ""Gallery"" is"	 The second sentence is more	1	1	1	1
10	suburbs	name	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"If another comes in his own name, you will receive him."	1	" ""Suburbs"""	" ""Name"" is less"	 The first sentence is more	1	0	0	0
11	suburbs	wheels	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Suburbs"""	" ""Observers"""	 The first sentence is more	1	1	0	1
12	suburbs	scatters	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Suburbs"""	" ""Suburbs"""	 The first sentence is more	1	1	0	1
13	suburbs	shekels	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Suburbs"""	" ""Scatters"""	 The first sentence is more	1	1	0	1
14	suburbs	nights	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Shekels"""	" ""Shekels"""	 The first sentence is more	1	1	0	1
15	suburbs	adversaries	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Nights"" is"	" ""Nights"" is"	 The first sentence is more	1	1	0	1
16	suburbs	assemblies	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	1	1	0	1
17	suburbs	wings	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Fate"" is"	" ""Fate"" is"	 The first sentence is more	1	1	0	1
18	suburbs	wrath	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	1	" ""Gallery"" is"	" ""Gallery"" is"	 The first sentence is more	1	1	0	1
19	wheels	name	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"If another comes in his own name, you will receive him."	1	" ""Observers"""	" ""Observers"""	 The first sentence is more	1	1	0	1
20	wheels	suburbs	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Observers"""	" ""Suburbs"""	 The first sentence is more	1	0	0	0
21	wheels	scatters	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	1	1	1	1
22	wheels	shekels	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Scatters"""	" ""Scatters"""	 The first sentence is more	1	1	0	1
23	wheels	nights	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	1	1	1	1
24	wheels	adversaries	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Nights"" is"	" ""Nights"" is"	 The first sentence is more	1	1	0	1
25	wheels	assemblies	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	1	1	0	1
26	wheels	wings	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Fate"" is"	" ""Fate"" is"	 The first sentence is more	1	1	0	1
27	wheels	wrath	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" Both ""observers"	" ""Gallery"" is"	 The first sentence is more	1	1	0	1
