possibilidades	inimigos	Este artigo de atualização tem como objetivo apresentar diversas possibilidades atuais da artroscopia de quadril.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	1	" Both ""possibilidades"	" ""Inimigos"""	 The second sentence is more	1	0	1	1
zona	rodas	Estabelecer uma zona de segurança neurovascular no acesso cirúrgico do terço médio da clavícula por dissecção em cadáveres.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	1	" ""Rodas"""	" ""Rodas"""	 The first sentence is more	0	0	0	0
papel	destino	Os aspetos nutricionais serão discutidos, incluindo o papel que o exercício pode ter sobre a redução dos efeitos negativos deste fenômeno.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	" ""Destino"" is"	" ""Destino"" is"	 The second sentence is more	0	0	1	0
Todo-Poderoso	destino	E ouvi como que a voz de uma grande multidão, e como que a voz de muitas águas, e como que a voz de grandes trovões, que dizia: Aleluia! pois já o Senhor Deus Todo-Poderoso reina.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	1	" ""Todo-P"	" ""Todo-P"	 The first sentence is more	1	1	0	1
síria	inimigos	E veio sobre ele o Espírito do SENHOR, e julgou a Israel, e saiu à peleja; e o SENHOR entregou na sua mão a Cusã-Risataim, rei da Síria; contra o qual prevaleceu a sua mão.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	0	" ""Síria"""	" ""Inimigos"""	 The first sentence is more	1	0	0	0
razão	siclos	primeiramente a prefeitura utilizou máquinas e equipamentos para desassoreamento do córrego entre folhas, depois, em razão da escassez de água, foi utilizado caminhão-pipa para levar água até o depósito	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	" Both ""razão"""	" ""Siclos"""	 The second sentence is more	1	0	1	1
CAG	galeria	# LT Grinberg; REL Ferretti; REP Leite; JM Farfel; SP Pacheco; ATDL Alho; RP Grisoli; HTM Matos; EG Moreira; ES Balbino; KC Oliveira; S Rosemberg; HB Carvalho; CAG Pasquallucci; PHN Saldiva; W Jacob-Filho; R Nitrini	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	" ""CAG"" is"	" ""galeria"" is"	 The second sentence is more	1	0	1	1
dia	inimigos	E todas as panelas em Jerusalém e Judá serão consagradas ao SENHOR dos Exércitos, e todos os que sacrificarem virão, e delas tomarão, e nelas cozerão. E, naquele dia não haverá mais cananeu na casa do SENHOR dos Exércitos.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	0	" ""Inimigos"""	" ""Inimigos"""	" The sentence ""E eu"	0	0	1	0
olho	rodas	A doente apresentava perda de visão do olho esquerdo.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	0	" ""Rodas"""	" ""Rodas"""	 The second sentence is more	0	0	1	0
incenso	nome	E a trará aos filhos de Arão, os sacerdotes, um dos quais tomará dela um punhado da flor de farinha, e do seu azeite com todo o seu incenso; e o sacerdote a queimará como memorial sobre o altar; oferta queimada é, de cheiro suave ao SENHOR.	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	1	" ""Incenso"""	" ""Incenso"""	 The second sentence is more	1	1	1	1
adorassem	nome	Falou Nabucodonosor, dizendo: Bendito seja o Deus de Sadraque, Mesaque e Abednego, que enviou o seu anjo, e livrou os seus servos, que confiaram nele, pois violaram a palavra do rei, preferindo entregar os seus corpos, para que não servissem nem adorassem algum outro deus, senão o seu Deus.	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	1	" ""Nome"" is"	" ""Nome"" is"	 The second sentence is more	0	0	1	0
pedra	arrabaldes	E disseram uns aos outros: Eia, façamos tijolos e queimemo-los bem. E foi-lhes o tijolo por pedra, e o betume por cal.	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	" ""pedra"" is"	" ""Arrabaldes"	 The second sentence is more	1	0	1	1
capítulos	galeria	publicou quatro dezenas de artigos científicos em revistas indexadas, foi editor de um livro técnico científico e escreveu quatro capítulos de livro	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	" Both ""capítulos"	" ""Galeria"""	 The second sentence is more	1	0	1	1
nação	rodas	E julgará entre muitos povos, e castigará nações poderosas e longínquas, e converterão as suas espadas em pás, e as suas lanças em foices; uma nação levantará a espada contra outra nação, nem aprenderão mais a guerra.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	0	" ""Rodas"""	" ""Rodas"""	 The second sentence is more	0	0	1	0
verdade	noites	Benignidade e verdade guardam ao rei, e com benignidade sustém ele o seu trono.	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	" ""Noites"" is"	" ""Noites"" is"	 The second sentence is more	0	0	1	0
tecnologia	dissipa	desenvolver políticas públicas para a valorização da leitura na escola e em casa preparar corpo técnico e docente para utilizar novas técnicas de ensino baseada na tecnologia atual	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	" ""Tecnologia"	" ""Dissipa"	 The second sentence is more	1	0	1	1
embalar	noites	uma playlist foi montada através de sugestões do público pelo facebook e instagram para embalar as atividades	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	" ""Noites"" is"	" ""Noites"" is"	 The second sentence is more	0	0	1	0
mapas	dissipa	A análise estatística da amostra de 3585 estudantes foi desenvolvida em SPSS, Excel nas representações gráficas e ArcMap, para os mapas.	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	" ""Dissipa"	" ""Dissipa"	 The first sentence is more	0	0	0	0
